"strain","RDP_NCBI_closest_hit","Phylum","Class","Order","Family","Genus","Medium","Antibiotic","Sample","Cultivar","compartment"
"BL061",NA,NA,NA,NA,NA,NA,"TSA",NA,"BL","Bintje","Leaf"
"BL062",NA,NA,NA,NA,NA,NA,"TSA",NA,"BL","Bintje","Leaf"
"BL063",NA,NA,NA,NA,NA,NA,"TSA",NA,"BL","Bintje","Leaf"
"BL064",NA,NA,NA,NA,NA,NA,"TSA",NA,"BL","Bintje","Leaf"
"BL065",NA,NA,NA,NA,NA,NA,"TSA",NA,"BL","Bintje","Leaf"
"BL066","Rhodococcus fascians","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","TSA",NA,"BL","Bintje","Leaf"
"BL067","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","TSA",NA,"BL","Bintje","Leaf"
"BL068",NA,NA,NA,NA,NA,NA,"TSA",NA,"BL","Bintje","Leaf"
"BL069","Frigoribacterium faeni","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","TSA",NA,"BL","Bintje","Leaf"
"BL070",NA,NA,NA,NA,NA,NA,"TSA",NA,"BL","Bintje","Leaf"
"BL071","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","BL","Bintje","Leaf"
"BL072","Clavibacter michiganensis subsp. insidiosus","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Clavibacter","ARE","Nys","BL","Bintje","Leaf"
"BL073","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ARE","Nys","BL","Bintje","Leaf"
"BL074","Bacillus subtilis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ARE","Nys","BL","Bintje","Leaf"
"BL075","Methylobacterium marchantiae","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium-Methylorubrum","ARE","Nys","BL","Bintje","Leaf"
"BL076","Rhodococcus corynebacterioides","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","ARE","Nys","BL","Bintje","Leaf"
"BL077","Acinetobacter parvus","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","ARE","Nys","BL","Bintje","Leaf"
"BL078",NA,NA,NA,NA,NA,NA,"ARE","Nys","BL","Bintje","Leaf"
"BL079","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ARE","Nys","BL","Bintje","Leaf"
"BL080","Bacillus cereus","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ARE","Nys","BL","Bintje","Leaf"
"BL081",NA,NA,NA,NA,NA,NA,"ARE","Nys","BL","Bintje","Leaf"
"BL082",NA,NA,NA,NA,NA,NA,"ARE","Nys","BL","Bintje","Leaf"
"BL083",NA,NA,NA,NA,NA,NA,"ARE","Nys","BL","Bintje","Leaf"
"BL084","Curtobacterium flaccumfaciens","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","ARE","Nys","BL","Bintje","Leaf"
"BL085",NA,NA,NA,NA,NA,NA,"ARE","Nys","BL","Bintje","Leaf"
"BL086","Bacillus aerius","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ARE","Nys","BL","Bintje","Leaf"
"BL087","Streptomyces argenteolus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","BL","Bintje","Leaf"
"BL087b",NA,NA,NA,NA,NA,NA,"ARE","Nys","BL","Bintje","Leaf"
"BL088","Curtobacterium oceanosedimentum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","ARE","Nys","BL","Bintje","Leaf"
"BL089","Sphingomonas phyllosphaerae","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","ARE","Nys","BL","Bintje","Leaf"
"BL090","Curtobacterium flaccumfaciens","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","ARE","Nys","BL","Bintje","Leaf"
"BL091","Streptomyces griseoaurantiacus strain B1","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","BL","Bintje","Leaf"
"BL092",NA,NA,NA,NA,NA,NA,"ARE","Nys","BL","Bintje","Leaf"
"BL093",NA,NA,NA,NA,NA,NA,"ARE","Nys","BL","Bintje","Leaf"
"BL094","Curtobacterium flaccumfaciens","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Curtobacterium","ARE","Nys","BL","Bintje","Leaf"
"BL095","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ARE","Nys","BL","Bintje","Leaf"
"BL096","Bacillus subtilis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ARE","Nys","BL","Bintje","Leaf"
"BL097","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Frigoribacterium","ARE","Nys","BL","Bintje","Leaf"
"BL098","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Rathayibacter","ARE","Nys","BL","Bintje","Leaf"
"BL099",NA,NA,NA,NA,NA,NA,"ARE","Nys","BL","Bintje","Leaf"
"BR001",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR002",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR003",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR004",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR005",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR006",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR007",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR008",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR009",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR010","Acidovorax facilis","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","PDA",NA,"BR","Bintje","Root"
"BR011",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR012","Ochrobactrum anthropi","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","PDA",NA,"BR","Bintje","Root"
"BR013","Acidovorax soli","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","PDA",NA,"BR","Bintje","Root"
"BR014a","Bacillus inaquosorum","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","PDA",NA,"BR","Bintje","Root"
"BR014b",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR015","Phyllobacterium myrsinacearum","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium","PDA",NA,"BR","Bintje","Root"
"BR016",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR017",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR018",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR019",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR020",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR021","Variovorax paradoxus NBRC 15149","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,"PDA",NA,"BR","Bintje","Root"
"BR022",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR023","Variovorax paradoxus","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","PDA",NA,"BR","Bintje","Root"
"BR024",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR025",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR026",NA,NA,NA,NA,NA,NA,"PDA",NA,"BR","Bintje","Root"
"BR027",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR028","See Seq16","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ARE","Ab","BR","Bintje","Root"
"BR029",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR030",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR031",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR032",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR033",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Ab","BR","Bintje","Root"
"BR034","Variovorax boronicumulans NBRC 103145","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Ab","BR","Bintje","Root"
"BR035",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR036","Variovorax paradoxus","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","ARE","Ab","BR","Bintje","Root"
"BR037",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR038","Pedobacter sp.","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ARE","Ab","BR","Bintje","Root"
"BR039","Sphingomonas phyllosphaerae","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","ARE","Ab","BR","Bintje","Root"
"BR040",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR041",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR042",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR043",NA,NA,NA,NA,NA,NA,"ARE","Ab","BR","Bintje","Root"
"BR044","Streptomyces globosus strain QT194-9","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR045","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR046","Ochrobactrum pecoris","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","ActIA",NA,"BR","Bintje","Root"
"BR047","Pedobacter sp.","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","ActIA",NA,"BR","Bintje","Root"
"BR048","Streptomyces argenteolus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR049","Diaphorobacter polyhydroxybutyrativorans","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","ActIA",NA,"BR","Bintje","Root"
"BR050","Diaphorobacter polyhydroxybutyrativorans","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","ActIA",NA,"BR","Bintje","Root"
"BR051","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR052","Ochrobactrum anthropi","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","ActIA",NA,"BR","Bintje","Root"
"BR053",NA,NA,NA,NA,NA,NA,"ActIA",NA,"BR","Bintje","Root"
"BR054","Bacillus niacini","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"BR","Bintje","Root"
"BR055","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"BR","Bintje","Root"
"BR056","Paenibacillus barengoltzii","Firmicutes","Bacilli","Paenibacillales","Paenibacillaceae","Paenibacillus","ActIA",NA,"BR","Bintje","Root"
"BR057","seq 19","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR058","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ActIA",NA,"BR","Bintje","Root"
"BR059","Bacillus niacini","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"BR","Bintje","Root"
"BR060","Streptomyces thermocarboxydus strain EGI124","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR061","Streptomyces globosus strain QT194-9","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR062",NA,NA,NA,NA,NA,NA,"ActIA",NA,"BR","Bintje","Root"
"BR063","Streptomyces finlayi strain 5C-2","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR064","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"BR","Bintje","Root"
"BR065","Streptomyces cellulosae SL2-2-R-9","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR066","Bacillus subtilis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"BR","Bintje","Root"
"BR067","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"BR","Bintje","Root"
"BR068","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR069",NA,NA,NA,NA,NA,NA,"ActIA",NA,"BR","Bintje","Root"
"BR070","Streptomyces microflavus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR071","See Seq14","Firmicutes","Bacilli","Bacillales","Planococcaceae","Psychrobacillus","ActIA",NA,"BR","Bintje","Root"
"BR072",NA,NA,NA,NA,NA,NA,"ActIA",NA,"BR","Bintje","Root"
"BR073","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"BR","Bintje","Root"
"BR074","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR075","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ActIA",NA,"BR","Bintje","Root"
"BR076","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"BR","Bintje","Root"
"BR077","Stenotrophomonas maltophilia","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","ActIA",NA,"BR","Bintje","Root"
"BR078","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ActIA",NA,"BR","Bintje","Root"
"BR079","Streptomyces atroolivaceus strain Nt1-5","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR080","Microbacterium keratanolyticum","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"BR","Bintje","Root"
"BR081","Nocardioides luteus","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","ActIA",NA,"BR","Bintje","Root"
"BR082","Bacillus sonorensis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"BR","Bintje","Root"
"BR083","Bacillus niacini","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"BR","Bintje","Root"
"BR084",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR084a",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR084b",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR085","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ActIA",NA,"BR","Bintje","Root"
"BR086","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ActIA",NA,"BR","Bintje","Root"
"BR087","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ActIA",NA,"BR","Bintje","Root"
"BR088","Bacillus thuringiensis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","ActIA",NA,"BR","Bintje","Root"
"BR089","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR090",NA,NA,NA,NA,NA,NA,"TSA",NA,"BR","Bintje","Root"
"BR091",NA,NA,NA,NA,NA,NA,"TSA",NA,"BR","Bintje","Root"
"BR092a","Streptomyces thermocarboxydus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR092b","Streptomyces thermocarboxydus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR093","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","TSA",NA,"BR","Bintje","Root"
"BR094","Pusillimonas noertemannii","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Pusillimonas","TSA",NA,"BR","Bintje","Root"
"BR095","See Seq16","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR096","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR097","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR098","Bacillus simplex","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"BR","Bintje","Root"
"BR099","Phyllobacterium ifriqiyense","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Phyllobacterium","TSA",NA,"BR","Bintje","Root"
"BR100","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR101","Acidovorax facilis","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","TSA",NA,"BR","Bintje","Root"
"BR102","Nocardioides daedukensis","Actinobacteriota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","TSA",NA,"BR","Bintje","Root"
"BR103","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR104","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR105",NA,NA,NA,NA,NA,NA,"TSA",NA,"BR","Bintje","Root"
"BR106","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR107","[Brevibacterium] frigoritolerans","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"BR","Bintje","Root"
"BR108",NA,NA,NA,NA,NA,NA,"TSA",NA,"BR","Bintje","Root"
"BR109","Hydrogenophaga intermedia","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","TSA",NA,"BR","Bintje","Root"
"BR110",NA,NA,NA,NA,NA,NA,"TSA",NA,"BR","Bintje","Root"
"BR111","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR112","Acidovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","TSA",NA,"BR","Bintje","Root"
"BR113","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR114","Streptomyces thermocarboxydus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR115",NA,NA,NA,NA,NA,NA,"TSA",NA,"BR","Bintje","Root"
"BR116","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR117","Streptomyces globisporus","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR118",NA,NA,NA,NA,NA,NA,"TSA",NA,"BR","Bintje","Root"
"BR119","See Seq16","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR120","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR121","Agromyces cerinus","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces","TSA",NA,"BR","Bintje","Root"
"BR122",NA,"Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","TSA",NA,"BR","Bintje","Root"
"BR123",NA,"Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR124",NA,NA,NA,NA,NA,NA,"TSA",NA,"BR","Bintje","Root"
"BR125","See Seq14","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR126","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","TSA",NA,"BR","Bintje","Root"
"BR127","Lysinibacillus fusiformis","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus","TSA",NA,"BR","Bintje","Root"
"BR128","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR129","See seq15","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","TSA",NA,"BR","Bintje","Root"
"BR130","Paenisporosarcina sp.","Firmicutes","Bacilli","Bacillales","Planococcaceae","Paenisporosarcina","TSA",NA,"BR","Bintje","Root"
"BR131","Streptomyces sp.","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR132","Streptomyces pratensis strain Kris8","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","TSA",NA,"BR","Bintje","Root"
"BR133","Acidovorax sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","TSA",NA,"BR","Bintje","Root"
"BR134","Bacillus sp.","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"BR","Bintje","Root"
"BR135","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","TSA",NA,"BR","Bintje","Root"
"BR136","Bacillus thuringiensis","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","TSA",NA,"BR","Bintje","Root"
"BR137","Pseudomonas brassicacearum","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","BR","Bintje","Root"
"BR138","Pseudomonas fluorescens","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","BR","Bintje","Root"
"BR139",NA,NA,NA,NA,NA,NA,"ARE","Nys","BR","Bintje","Root"
"BR140",NA,NA,NA,NA,NA,NA,"ARE","Nys","BR","Bintje","Root"
"BR141",NA,NA,NA,NA,NA,NA,"ARE","Nys","BR","Bintje","Root"
"BR142","Streptomyces pratensis strain WZS030","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","BR","Bintje","Root"
"BR143","Streptomyces fulvissimus strain NA06532","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","BR","Bintje","Root"
"BR144","Pusillimonas noertemannii","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Pusillimonas","ARE","Nys","BR","Bintje","Root"
"BR145","See Seq16","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","BR","Bintje","Root"
"BR146",NA,NA,NA,NA,NA,NA,"ARE","Nys","BR","Bintje","Root"
"BR147",NA,NA,NA,NA,NA,NA,"ARE","Nys","BR","Bintje","Root"
"BR148","Pseudomonas brassicacearum subsp. neoaurantiaca","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","BR","Bintje","Root"
"BR149","Providencia vermicola","Proteobacteria","Gammaproteobacteria","Enterobacterales","Morganellaceae","Providencia","ARE","Nys","BR","Bintje","Root"
"BR150","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","BR","Bintje","Root"
"BR151",NA,NA,NA,NA,NA,NA,"ARE","Nys","BR","Bintje","Root"
"BR152",NA,NA,NA,NA,NA,NA,"ARE","Nys","BR","Bintje","Root"
"BR153","Rhizobium radiobacter","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","ARE","Nys","BR","Bintje","Root"
"BR154","Pseudomonas fluorescens","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","ARE","Nys","BR","Bintje","Root"
"BR155","Microbacterium sp.","Actinobacteriota","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","ARE","Nys","BR","Bintje","Root"
"BR156","Diaphorobacter sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","ARE","Nys","BR","Bintje","Root"
"BR157","Advenella sp.","Proteobacteria","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Advenella","ARE","Nys","BR","Bintje","Root"
"BR158","Devosia neptuniae","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","ARE","Nys","BR","Bintje","Root"
"BR159","Streptomyces microflavus strain xsd08099","Actinobacteriota","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces","ARE","Nys","BR","Bintje","Root"
